#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Milton?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years),
,Witness In Palestine,Anna Baltzer,Modern History,No,No,English,365,Chicago,No,No,No,No,No,"January 1, 2014",N/A,N/A,N/A,
,Rebecca,Daphnie duMaurier,Classic,Yes,Yes,English,380,Chicago,Yes,Rec,Yes,Yes,Yes,"July 1, 2019","May 7, 2020",311,0.8520547945,
,The Genesis of Misery,Neon Yang,Gay Science Fiction,No,Yes,English,417,Boston,Yes,Rec,Yes,Yes,!,"October 18, 2022",N/A,N/A,N/A,
2,The Collection,"Manuel J. Borja-Villel, Jesus Carrillo, & Rosario Peiro",Art,No,No,English,255,Chicago,No,No,No,No,No,"July 20, 2015",N/A,N/A,N/A,
0.1,I Robot,Issac Asimov,Science Fiction,Yes,Yes,English,224,Boston,Yes,Yes,Yes,Yes,Yes,"March 15, 2022","September 16, 2022",185,0.5068493151,
1,The Gilded Wolves,Roshani Chokshi,Gay Fantasy,No,Yes,English,384,Boston,Yes,Yes,Yes,Yes,Yes,"June 29, 2023",N/A,N/A,N/A,
,Sexuality: A Very Short Introduction,Veronique Mottier,Gender Studies,Yes,No,English,127,Chicago,No,!,Yes,Yes,No,"September 1, 2019","September 1, 2019",0,0,
,The Tea Girl Of Hummingbird Lane,Lisa See,Historical Fiction,Yes,Yes,English,384,Chicago,Yes,Yes,Yes,Yes,Yes,"March 23, 2021","March 23, 2021",0,0,
,The Outlaw Ocean,Ian Urbina,History,Yes,Yes,English,408,Chicago,Yes,Rec,Yes,!,!,"January 31, 2020","January 31, 2020",0,0,
,My Beloved World,Sonia Sotomayor,Memior,No,Yes,English,302,Chicago,Yes,Yes,Yes,Yes,Yes,"February 20, 2020",N/A,N/A,N/A,
,Look Me In The Eye,John Elder Robison,Memior,Yes,Yes,English,304,Chicago,Yes,Rec,Yes,Yes,Yes,"March 23, 2021","March 23, 2021",0,0,
,The Origin of Species,Charles Darwin,Science,No,Yes,English,384,Chicago,Yes,Rec,Yes,Yes,!,"February 20, 2020",N/A,N/A,N/A,
,I Know Why The Caged Bird Sings,Maya Angelou,Memior,Yes,Yes,English,289,Chicago,Yes,Rec,Yes,Yes,Yes,"October 14, 2019","October 14, 2019",0,0,
,World Religions,Simon Adams,Religion,No,No,English,61,Chicago,No,No,No,No,No,"January 1, 2010",N/A,N/A,N/A,
,Kings And Queens Of Spain,Pilar Ramos Vincent,Travel,No,No,English,110,Chicago,No,!,Yes,Yes,No,"July 20, 2015",N/A,N/A,N/A,
1,This Poison Heart,Kalynn Bayron,Gay Fantasy,Yes,Yes,English,370,Boston,Yes,Rec,Yes,Yes,Yes,"November 3, 2022","June 16, 2023",225,0.6164383562,
,Imperial Woman,Pearl S. Buck,Historical Fiction,No,Yes,English,376,Chicago,Yes,Rec,Yes,Yes,!,"May 3, 2022",N/A,N/A,N/A,
,A Ladder To The Sky,John Boyne,Fiction,No,Yes,English,362,Boston,Yes,Rec,Yes,Yes,Rec,"October 21, 2022",N/A,N/A,N/A,
,The Immortal Life Of Henrietta Lacks,Rebecca Skloot,Science,Yes,Yes,English,345,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019","September 30, 2019",91,0.2493150685,
,Black Panther Psychology: Hidden Kingdoms,Travis Langley & Alex Simmons,TV and movie,No,No,English,250,Chicago,No,!,Yes,Yes,No,"May 6, 2022",N/A,N/A,N/A,
3,Herald Of The Witchs Mark,Kellen Graves,Gay Fantasy,No,No,English,507,Boston,No,!,Yes,Yes,No,"November 12, 2023",N/A,N/A,N/A,
,All Seville,Fisa Escudo De Oro,Travel,No,No,English,115,Chicago,No,!,Yes,Yes,No,"July 20, 2015",N/A,N/A,N/A,
,Where The Crawdads Sing,Delia Owens,Historical Fiction,Yes,Yes,English,368,Chicago,Yes,Yes,Yes,Yes,Yes,"May 18, 2022","October 22, 2022",157,0.4301369863,
1,Ross Poldark,Winston Graham,Historical Fiction,No,Yes,English,376,Chicago,Yes,Rec,Yes,Yes,Rec,"January 1, 2016",N/A,N/A,N/A,
,Hamilton,Ron Chernow,American History,Yes,Yes,English,738,Chicago,Yes,Yes,Rec,Yes,Yes,"October 17, 2019","October 17, 2019",0,0,
,The Lone Ranger & Tonto Fistfight in Heaven,Sherman Alexie,Fiction,Yes,No,English,242,Boston,No,No,No,No,No,"July 2, 2022",N/A,N/A,N/A,
,The Scarlet Letter,Nathaniel Hawthorne,Classic,No,Yes,English,290,Chicago,Yes,Yes,Yes,Yes,Yes,"October 17, 2019",N/A,N/A,N/A,
,Stony The Road,Henry Louis Gates Jr.,Race Relations,No,Yes,English,256,Chicago,Yes,Rec,Yes,Yes,!,"April 30, 2022",N/A,N/A,N/A,
1,Guardian,Priest,Danmei,No,No,English,379,Boston,No,!,Yes,Yes,No,"August 29, 2023",N/A,N/A,N/A,
,The Corpse Walker,Liao Yiwu,China,No,No,English,328,Chicago,No,No,No,No,No,"February 20, 2020",N/A,N/A,N/A,
,Angels Before Man,Rafael Nicolás,Gay Fantasy,No,No,English,370,Boston,No,!,Yes,Yes,No,"October 21, 2023",N/A,N/A,N/A,
,Flip The Script,Lyla Lee,Gay Fiction,No,Yes,English,291,Boston,Yes,Rec,Yes,Yes,Rec,"June 15, 2023",N/A,N/A,N/A,
1,Tiger Eye,Marjorie M. Liu,Fantasy,Yes,Yes,English,373,Boston,Yes,Rec,Rec,Yes,!,"July 7, 2021","August 18, 2023",772,2.115068493,
1,The Mountain's Call,Caitlin Brennan,Fantasy,No,No,English,459,Chicago,No,No,No,No,No,"June 1, 2021",N/A,N/A,N/A,
,The Mini Book Of Appa,Britny Brooks-Perilli,TV and movie,Yes,No,English,29,Boston,No,No,No,No,No,"July 5, 2023","July 8, 2023",3,0.008219178082,
,Water For Elephants,Sara Gruen,Historical Fiction,Yes,Yes,English,331,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019","July 1, 2019",0,0,
,The Shining,Stephen King,Horror,Yes,Yes,English,447,Chicago,Yes!,Rec,Yes,Yes,Yes,"April 25, 2020","April 25, 2020",0,0,
,Maoism,Julia Lovell,China,No,Yes,English,465,Boston,Yes,Rec,Yes,Yes,!,"October 5, 2022",N/A,N/A,N/A,
,Dear Girls,Ali Wong,Memior,Yes,Yes,English,240,Chicago,Yes,Yes,Yes,Yes,Yes,"April 4, 2020","April 4, 2020",0,0,
,How Humans Evolved,Robert Boyd & Joan B. Silk,Textbook,Yes,No,English,440,Chicago,No,!,Yes,Yes,No,"September 1, 2017",0,0,,
0,Bitter,Akwaeke Emezi,Gay Fantasy,Yes,Yes,English,261,Boston,Yes,Rec,Yes,Yes,Yes,"January 15, 2024","January 29, 2024",14,0.03835616438,
,Brave New World,Aldous Huxley,Classic,Yes,Yes,English,,Boston,Yes,Rec,Yes,Yes,Yes,"October 3, 2023","October 9, 2023",6,0.01643835616,
,The Road,Cormac McCarthy,Horror,Yes,Yes,English,241,Chicago,Yes,Rec,Yes,Yes,Yes,"October 27, 2020","June 26, 2021",242,0.6630136986,
,Othello,William Shakespeare,Play,Yes,Yes,English,265,Chicago,Yes,Rec,Yes,Yes,!,"July 30, 2022","July 30, 2022",0,0,
,The Magic Fish,Trung Le Nguyen,Gay Fantasy,No,No,English,227,Boston,No,No,No,No,No,"June 29, 2023",N/A,N/A,N/A,No
,The Other Slavery,Andrés Reséndez,Native Americans,No,Yes,English,321,Boston,Yes!,No,No,No,No,"May 18, 2022",N/A,N/A,N/A,
4,The Tale Of The Body Thief,Anne Rice,Fantasy,No,Yes,English,435,Chicago,Yes,Rec,Yes,!,!,"November 15, 2020",N/A,N/A,N/A,
,Before We Disappear,Shuan David Hutchinson,Gay Fantasy,Yes,Yes,English,492,Boston,Yes,Rec,Yes,Yes,Yes,"January 16, 2023","May 6, 2023",110,0.301369863,
,Black Dog of Fate,Peter Balakian,Memior,No,Yes,English,348,Chicago,Yes!,!,Yes,Yes,No,"July 2, 2022",N/A,N/A,N/A,
,Strange Beasts Of China,Yan Ge,Fantasy,No,Yes,English,232,Boston,Yes,Rec,Yes,Yes,!,"July 3, 2022",N/A,N/A,N/A,
,To Paradise,Hanya Yanagihara,Gay Science Fiction,Yes,Yes,English,704,Chicago,Yes,Yes,Yes,Yes,Yes,"June 9, 2022","June 6, 2023",362,0.9917808219,
,The Orchid Thief,Susan Orlean,History,No,Yes,English,282,Chicago,Yes,Rec,Yes,Yes,!,"March 31, 2020",N/A,N/A,N/A,
,Sofi And The Bone Song,Adrienne Tooley,Gay Fantasy,No,Yes,English,394,Boston,Yes,Rec,Rec,Yes,!,"December 17, 2022",N/A,N/A,N/A,
,Catherine the Great,Robert K. Massie,Biography,Yes,Yes,English,574,Boston,Yes,Yes,Yes,Yes,!,"July 20, 2020","December 17, 2022",880,2.410958904,
,The Secret To Superhuman Strength,Alison Bechdel,Memior,Yes,No,English,233,Boston,No,No,No,No,No,"December 25, 2022","June 30, 2023",187,0.5123287671,
,Shakespeare Notebooks,"James Goss, Jonathan Morris, Julian Richards, Justin Richards, & Matthew Sweet",TV and movie,Yes,No,English,210,Boston,No,!,Yes,Yes,No,"January 1, 2016","December 26, 2022",2551,6.989041096,
2,Saints,Gene Luen Yang,Historical Fiction,No,No,English,170,Boston,No,!,Yes,Yes,No,"December 3, 2022",N/A,N/A,N/A,
3,Shattered Dance,Caitlin Brennan,Fantasy,No,No,English,442,Chicago,No,!,Yes,Yes,No,"June 1, 2021",N/A,N/A,N/A,
,"Gmorning, Gnight",Lin-Manuel Miranda,Poetry,Yes,Yes,English,201,Chicago,Yes,Yes,Yes,Yes,!,"August 10, 2019",,-43687,-119.690411,
,A Long Way Gone,Ishmael Beah,Memior,No,Yes,English,218,Chicago,Yes,Rec,Yes,Yes,Yes,"July 20, 2021",N/A,N/A,N/A,
,The Salt Grows Heavy,Cassandra Khaw,Gay Fantasy,Yes,Yes,English,97,Boston,Yes,Rec,Yes,Rec,Rec,"May 6, 2023","July 7, 2023",62,0.1698630137,
1,Jack Of Thorns,A.K. Faulkner,Gay Fantasy,No,Yes,English,368,Boston,Yes,!,Yes,Yes,No,"October 20, 2023",N/A,N/A,N/A,
,The Alignment Problem,Brian Christian,Coding,No,Yes,English,329,Boston,Yes,No,No,No,No,"October 31, 2022",N/A,N/A,N/A,
,Bonk,Mary Roach,Gender Studies,No,Yes,English,303,Boston,Yes,!,Yes,Yes,No,"August 19, 2023",N/A,N/A,N/A,
,Bad Blood,John Carreyrou,Coding,Yes,Yes,English,335,Boston,Yes,Yes,Yes,Yes,Yes,"October 21, 2023","November 17, 2023",27,0.07397260274,
,The Darkness Outside Us,Eliot Schrefer,Gay Science Fiction,Yes,Yes,English,393,Boston,Yes,Rec,Yes,Yes,Yes,"July 18, 2023","November 27, 2023",132,0.3616438356,
1,The Third Daughter,Adrienne Tooley,Gay Fantasy,No,Yes,English,309,Boston,Yes,Rec,Rec,Rec,Yes,"August 12, 2023",N/A,N/A,N/A,
,Rogues,Patrick Radden Keefe,History,No,Yes,English,344,Boston,Yes,Yes,Yes,Yes,Yes,"July 13, 2022",N/A,N/A,N/A,
1,Zachary Ying And The Dragon Emperor,Xiran Jay Zhao,Gay Fantasy,Yes,Yes,English,340,Boston,Yes,Yes,Yes,Yes,!,"July 10, 2022","September 24, 2022",76,0.2082191781,
,A Taste Of Gold And Iron,Alexa Rowland,Gay Fantasy,No,Yes,English,500,Boston,Yes,Rec,Yes,Yes,Rec,"December 2, 2022",N/A,N/A,N/A,
4,Winter,Marissa Meyer,Fantasy,Yes,Yes,English,819,Chicago,Yes,Yes,Yes,Yes,Yes,"October 17, 2019","October 17, 2019",0,0,
,Cod,Mark Kurlansky,History,No,Yes,English,233,Chicago,Yes,Rec,Yes,Yes,Rec,"March 3, 2022",N/A,N/A,N/A,
,The Underground Girls Of Kabul,Jenny Nordberg,Gender Studies,Yes,Yes,English,306,Chicago,Yes,Rec,Yes,Yes,Yes,"January 1, 2016","October 6, 2020",1740,4.767123288,
,The Children's Bible,Many,Religion,Yes,Yes,English,510,Chicago,Yes,No,No,No,No,"January 1, 2016","January 1, 2016",0,0,
,I Contain Multitudes,Ed Yong,Science,No,Yes,English,264,Boston,Yes!,Rec,Yes,Yes,Rec,"April 7, 2022",N/A,N/A,N/A,
1,The Bone Shard Daughter,Andrea Stewart,Gay Fantasy,No,Yes,English,435,Boston,Yes,Yes,Yes,Yes,Rec,"October 24, 2022",N/A,N/A,N/A,
,Before The Dawn,Nicholas Wade,Anthropology,Yes,Yes,English,279,Chicago,Yes,Rec,Yes,!,!,"July 1, 2019","August 31, 2019",61,0.1671232877,
,The Dark Tide,Alicia Jasinska,Gay Fantasy,Yes,Yes,English,317,Boston,Yes,Rec,Rec,Yes,!,"January 8, 2023","January 20, 2023",12,0.03287671233,
,The Great Moghuls,Bamber Gascoigne,History,No,No,English,247,Chicago,No,No,No,No,No,"July 18, 2022",N/A,N/A,N/A,
,The Hate You Give,Angie Thomas,Fiction,Yes,Yes,English,444,Chicago,Yes,Yes,Yes,!,!,"February 21, 2021","July 6, 2021",135,0.3698630137,
,Three Cups Of Tea,Greg Mortenson & David Oliver Relin,Memior,Yes,Yes,English,332,Boston,Yes,Rec,Yes,Yes,Yes,"July 30, 2022","August 7, 2023",373,1.021917808,
,"The Aztec, Inca And Maya",Martin J. Dougherty,South American History,No,No,English,217,Chicago,No,No,No,No,No,"July 1, 2019",N/A,N/A,N/A,
,Catfish Rolling,Clara Kumagai,Gay Fantasy,No,Yes,English,417,Boston,Yes,Rec,Rec,Rec,Rec,"November 6, 2023",N/A,N/A,N/A,
1,The Shattered Gates,Ginn Hale,Gay Fantasy,No,No,English,341,Boston,No,No,No,No,No,"August 10, 2022",N/A,N/A,N/A,
,The Ethical Slut,Janet W. Hardy & Dossie Easton,Textbook,Yes,No,English,295,Chicago,No,No,No,No,No,"September 1, 2019","September 1, 2019",0,0,
,The Enigmas of Easter Island,John Flenley and Paul Bahn,Anthropology,Yes,No,English,213,Chicago,No,No,No,No,No,"February 20, 2020","February 20, 2022",731,2.002739726,
,Dreaming,Barbara Tedlock,Textbook,Yes,No,English,261,Chicago,No,!,Yes,Yes,No,"February 1, 2019","February 1, 2019",0,0,
,Manhunt,Gretchen Felker-Martin,Horror,No,Yes,English,293,Boston,Yes,Rec,Yes,Yes,Rec,"July 8, 2023",N/A,N/A,N/A,
,The Imperial Uncle,Da Feng Gua Guo,Danmei,No,No,English,440,Boston,No,No,No,No,No,"October 23, 2023",N/A,N/A,N/A,
,We Should All Be Feminists,Chimamanda Ngozi Adichie,Gender Studies,Yes,Yes,English,48,Boston,Yes,Rec,Yes,Yes,Yes,"May 3, 2022","August 2, 2023",456,1.249315068,
,Becoming A Queen,Dan Clay,Gay Fiction,No,Yes,English,404,Boston,Yes,Rec,Yes,Yes,Yes,"June 15, 2023",N/A,N/A,N/A,
1,Silver Phoenix,Cindy Pon,Fantasy,Yes,No,English,338,Boston,No,!,Yes,Yes,No,"July 7, 2021","July 11, 2023",734,2.010958904,
,All's Well,Mona Awad,Horror,Yes,Yes,English,354,Chicago,Yes,Yes,Yes,Yes,Yes,"July 13, 2020",,-44025,-120.6164384,
,The Boy Who Harnessed the Wind,William Kamkwamba and Bryan Mealer,Memior,Yes,Yes,English,286,Chicago,Yes,Rec,Yes,Yes,Yes,"July 20, 2020","April 3, 2021",257,0.704109589,
3,Heaven Official's Blessing Vol 3,Mo Xiang Tong Xiu,Danmei,Yes,No,English,415,Boston,No,!,Yes,Yes,No,"July 12, 2022","October 11, 2022",91,0.2493150685,
,Invisible Child ,Andrea Elliott,Race Relations,Yes,Yes,English,525,Boston,Yes,Yes,Yes,Yes,Yes,"October 19, 2022","May 29, 2023",222,0.6082191781,
1,The Bone Ships,R.J. Barker,Gay Fantasy,No,Yes,English,464,Boston,Yes,Rec,Yes,Rec,Rec,"July 18, 2023",N/A,N/A,N/A,
,So This Is Ever After,F.T. Lukens,Gay Fantasy,No,Yes,English,341,Boston,Yes,Rec,Yes,Yes,Yes,"November 23, 2022",N/A,N/A,N/A,
,The Paper Menagerie,Ken Liu,Fantasy,Yes,Yes,English,450,Boston,Yes,Rec,Yes,Yes,!,"July 23, 2022","July 25, 2023",367,1.005479452,
3,Jade Legacy,Fonda Lee,Fantasy,Yes,Yes,English,713,Boston,Yes,Rec,Yes,Yes,Rec,"July 5, 2023","November 6, 2023",124,0.3397260274,
1,The Girl With The Dragon Tattoo,Stieg Larsson,Mystery,Yes,Yes,English,590,Chicago,Yes,Yes,Yes,Yes,Yes,"May 5, 2021","September 4, 2021",122,0.3342465753,
,Fake Dates And Mooncakes,Sher Lee,Gay Fiction,Yes,Yes,English,262,Boston,Yes,Rec,Yes,Yes,Yes,"July 31, 2023","December 23, 2023",145,0.397260274,
,Lock The Doors,Vincent Ralph,Horror,No,Yes,English,388,Boston,Yes,Rec,Yes,Yes,!,"May 29, 2022",N/A,N/A,N/A,
,The Ones We Burn,Rebecca Mix,Gay Fantasy,No,Yes,English,462,Boston,Yes,Rec,Rec,Yes,Rec,"November 23, 2022",N/A,N/A,N/A,
,Guns Germs And Steel,Jared Diamond,Anthropology,Yes,Yes,English,445,Chicago,Yes,Rec,Yes,Yes,Yes,"July 1, 2019","October 31, 2019",122,0.3342465753,
,Geological Aspects of Key Archaeological Sites In Northern Kentucky And Southern Ohio,Timothy S. Dalbey,Textbook,Yes,No,English,119,Chicago,No,!,Yes,Yes,No,"February 1, 2019","February 1, 2019",0,0,
,Alchemy Of Moonlight,David Ferraro,Gay Fantasy,No,Yes,English,374,Boston,Yes,Rec,Yes,Rec,Rec,"January 6, 2024",N/A,N/A,N/A,
1,Wicked Fox,Kat Cho,Fantasy,Yes,Yes,English,420,Boston,Yes,Rec,Yes,Yes,!,"June 27, 2022","January 5, 2023",192,0.5260273973,
1,The Long Way To A Small Angry Planet,Becky Chambers,Gay Science Fiction,Yes,Yes,English,438,Boston,Yes,Rec,Yes,Yes,!,"August 4, 2022","December 31, 2022",149,0.4082191781,
,Psyche And Eros,Luna McNamara,Fantasy,Yes,Yes,English,337,Boston,Yes,Rec,Yes,Yes,Rec,"August 12, 2023","December 15, 2023",125,0.3424657534,
,The Martian,Andy Weir,Science Fiction,Yes,Yes,English,435,Chicago,Yes!,No,No,No,No,"April 25, 2020","April 25, 2020",0,0,
,They Came Before Columbus,Ivan van Sertima,Native Americans,Yes,No,English,272,Chicago,No,No,No,No,No,"July 1, 2019",,-43647,-119.5808219,
,A Thousand Splendid Suns,Khaled Hosseini,Fiction,Yes,Yes,English,367,Chicago,Yes,Rec,Yes,Yes,!,"April 25, 2020","July 16, 2020",82,0.2246575342,
,"Sister, Maiden, Monster",Lucy A. Snyder,Horror,No,Yes,English,261,Boston,Yes,Rec,Yes,!,!,"March 12, 2023",N/A,N/A,N/A,
1,Crown Of Feathers,Nicki Pau Preto,Fantasy,No,Yes,English,477,Boston,Yes,Yes,Yes,Yes,!,"June 27, 2022",N/A,N/A,N/A,
,The Long Walk,Stephen King,Fiction,Yes,Yes,English,391,Chicago,Yes,Rec,Yes,Yes,Yes,"December 25, 2019","January 31, 2020",37,0.101369863,
1,Golden Terrace Vol 1,Cang Wu Bin Bai,Danmei,No,No,English,403,Boston,No,!,Yes,Yes,No,"April 14, 2023",N/A,N/A,N/A,
1,Black Leopard Red Wolf,Marlon James,Gay Fantasy,No,Yes,English,620,Boston,Yes,Yes,Yes,Yes,Yes,"May 6, 2022",N/A,N/A,N/A,
1,The Tale of Genji vol 1,Murasaki Shikibu,Classic,No,Yes,English,521,Chicago,Yes!,Rec,Rec,Yes,!,"July 20, 2020",N/A,N/A,N/A,
,Rust In The Root,Justina Ireland,Gay Fantasy,No,Yes,English,439,Boston,Yes,Rec,Yes,Yes,Yes,"June 15, 2023",N/A,N/A,N/A,
,Ada's Algorithm,James Essinger,Coding,No,No,English,151,Boston,No,!,Yes,Yes,No,"January 4, 2023",N/A,N/A,N/A,
,Brickmakers,Selva Almada,Gay Fiction,Yes,No,English,181,Boston,No,!,Yes,Yes,No,"October 27, 2022","July 18, 2023",264,0.7232876712,
,Sherlock Files,Guy Adams,TV and movie,No,No,English,159,Chicago,No,!,Yes,Yes,No,"January 1, 2018",N/A,N/A,N/A,
,The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,Historical Fiction,No,Yes,English,790,Boston,Yes,Yes,Yes,Yes,Yes,"October 10, 2022",N/A,N/A,N/A,
,Fifteen Hundred Miles From The Sun,Jonny Garza Villa,Gay Fiction,No,Yes,English,337,Boston,Yes,!,Yes,Yes,No,"October 20, 2023",N/A,N/A,N/A,
2,He Who Drowned The World,Shelley Parker-Chan,Gay Fantasy,No,Yes,English,483,Boston,Yes,Yes,Yes,Yes,Rec,"August 22, 2023",N/A,N/A,N/A,
,Rosemary,Kate Clifforfd Larson,Biography,No,Yes,English,231,Boston,Yes!,Yes,Yes,Yes,Yes,"July 20, 2020",N/A,N/A,N/A,
2,Heaven Official's Blessing Vol 2,Mo Xiang Tong Xiu,Danmei,Yes,No,English,389,Boston,No,!,Yes,Yes,No,"February 15, 2022","June 15, 2022",120,0.3287671233,
,Multisensory Teaching of Basic Language Skills,Suzanne Carreker & Judith R. Birsh,Teaching,Yes,No,English,191,Chicago,No,!,Yes,Yes,No,"March 1, 2020","March 1, 2020",0,0,
,Lady Tan's Circle Of Women,Lisa See,Historical Fiction,No,Yes,English,339,Boston,Yes,Yes,Yes,Yes,Yes,"June 15, 2023",N/A,N/A,N/A,
2,Stalking Darkness,Lynn Flewelling,Gay Fantasy,No,Yes,English,501,Boston,Yes,Rec,Rec,Yes,Rec,"December 11, 2022",N/A,N/A,N/A,
2,China Rich Girlfriend,Kevin Kwan,Fiction,Yes,Yes,English,524,Chicago,Yes,Yes,Yes,Yes,Yes,"June 20, 2020","July 22, 2020",32,0.08767123288,
,Lakelore,Anna-Marie McLemore,Gay Fantasy,No,Yes,English,284,Boston,Yes,Rec,Yes,Yes,Yes,"October 3, 2023",N/A,N/A,N/A,
,Fencing With The King,Diana Abu-Jaber,Fiction,Yes,Yes,English,298,Chicago,Yes,Yes,Yes,!,!,"March 10, 2022","April 26, 2022",47,0.1287671233,
,Claude Levi-Strauss,Patrick Wilcken,Anthropology,No,No,English,432,Chicago,No,!,Yes,Yes,No,"October 15, 2020",N/A,N/A,N/A,
,Partir Para Contar,Muhmud Traore & Bruno Le Dantec,Memior,No,No,Spanish,276,Chicago,No,!,Yes,Yes,No,"July 20, 2015",N/A,N/A,N/A,
,Pearl Of China,Anchee Min,Historical Fiction,No,Yes,English,275,Chicago,Yes,Rec,Rec,Yes,!,"July 30, 2022",N/A,N/A,N/A,
,The Curious Incident of the Dog In The Night-time,Mark Haddon,Fiction,Yes,Yes,English,221,Chicago,Yes,Yes,Yes,Yes,Yes,"March 1, 2020","June 25, 2020",116,0.3178082192,
4,Speaking Bones,Ken Liu,Gay Fantasy,Yes,Yes,English,1047,Boston,Yes,Rec,Yes,Yes,!,"January 31, 2023","March 10, 2023",38,0.104109589,
,The Power,Naomi Alderman,Fantasy,Yes,Yes,English,382,Boston,Yes,Yes,Yes,Yes,Yes,"October 28, 2023","October 30, 2023",2,0.005479452055,
,The Sun And The Star,Rick Riordan And Mark Oshiro,Gay Fantasy,No,Yes,English,462,Boston,Yes,Yes,Yes,Yes,Yes,"May 24, 2023",N/A,N/A,N/A,
,Admissions,Henry Marsh,Science,No,Yes,English,270,Chicago,Yes,Rec,Yes,Yes,!,"November 9, 2021",N/A,N/A,N/A,
,The Wicked Bargain,Gabe Cole Novoa,Gay Fantasy,No,Yes,English,359,Boston,Yes,Rec,Rec,Yes,Yes,"April 28, 2023",N/A,N/A,N/A,
,American Battles,Don Troiani,American History,No,No,English,248,Chicago,No,!,Yes,Yes,No,"March 1, 2020",N/A,N/A,N/A,
,The Gene,Siddhartha Mukherjee,Science,Yes,Yes,English,498,Chicago,Yes,Yes,Yes,Yes,Yes,"July 1, 2019","July 31, 2019",30,0.08219178082,
,Know My Name,Channel Millar,Memior,Yes,Yes,English,357,Chicago,Yes,Yes,Yes,Yes,Yes,"July 20, 2020","July 20, 2020",0,0,
1,The Bone Witch,Rin Chupeco,Fantasy,Yes,Yes,English,425,Boston,Yes!,Yes,Yes,Yes,Yes,"May 13, 2021","May 17, 2023",734,2.010958904,
6,Prelude To Foundation,Issac Asimov,Science Fiction,No,Yes,English,409,Boston,Yes,Rec,Yes,Yes,!,"February 25, 2023",N/A,N/A,N/A,
,Hood Feminism,Mikki Kendall,Gender Studies,Yes,Yes,English,258,Chicago,Yes,Yes,Yes,Yes,Yes,"May 5, 2021","June 29, 2021",55,0.1506849315,
1,The Grandmaster Of Demonic Cultivation The Manhua Vol 1,Mo Xiang Tong Xiu,Danmei,Yes,No,English,212,Boston,No,No,No,No,No,"March 7, 2023","March 9, 2023",2,0.005479452055,
,God's Red Son,Louis S. Warren,Native Americans,No,No,English,402,Chicago,No,!,Yes,Yes,No,"July 20, 2020",N/A,N/A,N/A,
1,The Archive Undying,Emma Mieko Candon,Gay Science Fiction,No,Yes,English,480,Boston,Yes,Rec,Yes,Yes,Yes,"August 25, 2023",N/A,N/A,N/A,
1,The Fifth Season,N.K. Jemisin,Gay Fantasy,No,Yes,English,449,Boston,Yes,Yes,Yes,Yes,Yes,"May 31, 2022",N/A,N/A,N/A,
1,Tales From The Mos Eisley Cantina,Kevin J. Anderson,TV and movie,No,No,English,380,Chicago,No,!,Yes,Yes,No,"July 30, 2022",N/A,N/A,N/A,No
,Where The Mountain Meets The Moon,Grace Lin,Fantasy,Yes,Yes,English,278,Chicago,Yes,Yes,Yes,Yes,Yes,"July 2, 2022","July 13, 2022",11,0.0301369863,
2,Four Aunties and a Wedding,Jesse Q. Sutanto,Mystery,No,Yes,English,284,Boston,Yes,Yes,Yes,Yes,Yes,"June 11, 2023",N/A,N/A,N/A,
,The Broken Spears,Miguel León-Portilla,South American History,No,No,English,192,Boston,No,No,No,No,No,"August 4, 2022",N/A,N/A,N/A,
1,The Water Outlaws,S.L. Huang,Gay Fantasy,Yes,Yes,English,479,Boston,Yes,Rec,Yes,Yes,Rec,"August 25, 2023","January 22, 2024",150,0.4109589041,
,Anthropology And Modern Life,Franz Boas,Anthropology,No,No,English,246,Chicago,No,!,Yes,Yes,No,"October 17, 2019",N/A,N/A,N/A,
,One Thousand White Women,Jim Fergus,Historical Fiction,No,Yes,English,302,Boston,Yes,Rec,Yes,Yes,Yes,"July 30, 2022",N/A,N/A,N/A,
,The Hidden Girl ,Ken Liu,Fantasy,No,Yes,English,411,Boston,Yes,Rec,Yes,Yes,Rec,"August 4, 2023",N/A,N/A,N/A,
1,The City Of Dusk,Tara Sim,Gay Fantasy,No,Yes,English,544,Boston,Yes,Rec,Yes,Yes,Rec,"January 16, 2023",N/A,N/A,N/A,
1,Legends And Lattes,Travis Baldree,Gay Fantasy,No,Yes,English,254,Boston,Yes,Yes,Yes,Yes,Yes,"December 27, 2022",N/A,N/A,N/A,
,Buffalo Is The New Buffalo,Chelsea Vowel,Gay Fiction,Yes,No,English,328,Boston,No,!,Yes,Yes,No,"January 8, 2023","February 25, 2023",48,0.1315068493,
1,Malice,Heather Walter,Gay Fantasy,No,Yes,English,464,Boston,Yes,Rec,Yes,Yes,!,"May 29, 2022",N/A,N/A,N/A,
,Snow Flower And The Secret Fan,Lisa See,Historical Fiction,Yes,Yes,English,288,Chicago,Yes,Yes,Yes,Yes,Yes,"October 27, 2020","October 27, 2020",0,0,
1,The Secret Lives Of Country Gentlemen,K.J. Charles,Gay Fantasy,No,Yes,English,342,Boston,Yes,Yes,Yes,Yes,Yes,"June 3, 2023",N/A,N/A,N/A,
